0	0
1	0
2	15
3	17
4	5
5	3
6	17
7	5
8	3
9	15
10	17
11	5
12	3
13	17
14	5
15	3
16	9
17	9
18	15
19	17
20	5
21	3
22	17
23	5
24	3
25	9
26	9
27	3
28	2
29	2
30	15
31	2
32	2
33	3
34	15
35	15
36	17
37	5
38	3
39	17
40	5
41	3
42	9
43	9
44	3
45	2
46	2
47	15
48	2
49	2
50	3
51	15
52	2
53	3
54	15
55	17
56	5
57	3
58	17
59	5
60	3
61	9
62	9
63	2
64	3
65	15
66	17
67	5
68	3
69	17
70	5
71	3
72	15
73	2
74	2
75	3
76	15
77	15
78	17
79	5
80	3
81	17
82	5
83	3
84	9
85	2
86	3
87	2
88	3
89	15
90	17
91	5
92	3
93	17
94	5
95	3
96	9
97	2
98	3
99	2
100	3
101	15
102	2
103	2
104	3
105	15
